run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
0,2025-05-29 01:00:00,2025-06-08 00:50:00,2025-06-08 01:00:00,2025-06-11 00:50:00,1440,432,0.5432473248161647,0.6637535818341525,0.9721923664246716,32.247931460909115,66.97828815963213,0.9230685187748721,0.02185362088661816,0.04349310432935309,0.9557060288648694,5.375231323178679,6.497944203193145,0.6316607710306048
1,2025-05-29 01:00:00,2025-06-09 00:50:00,2025-06-09 01:00:00,2025-06-12 00:50:00,1584,432,0.39142208215450114,0.4885525663026171,0.9858911309062744,28.604456608541206,46.295578768479295,0.9632905409166169,0.022995184266686865,0.03344149682233665,0.9740152434170724,2.8207373470034645,3.740055615744598,0.8738027754678684
2,2025-05-29 01:00:00,2025-06-10 00:50:00,2025-06-10 01:00:00,2025-06-13 00:50:00,1728,432,0.4026576882920274,0.529632318865597,0.9843956986574791,29.581884835543132,52.02046012003058,0.9544494547807321,0.02262654880192026,0.037125384199917184,0.9679447658324425,2.471470593718912,3.378319055086751,0.9010088996760677
3,2025-05-29 01:00:00,2025-06-11 00:50:00,2025-06-11 01:00:00,2025-06-14 00:50:00,1872,432,0.3473901281024107,0.4779070905143101,0.9877065265115628,33.68174195953301,61.08085587141993,0.938894473344487,0.027137676968212853,0.043989653604046434,0.9549179487235602,2.790926318061354,3.6501662156459687,0.8647422058208387
4,2025-05-29 01:00:00,2025-06-12 00:50:00,2025-06-12 01:00:00,2025-06-15 00:50:00,2016,432,0.3517179378919827,0.4803885176348353,0.9870715441372699,30.344033046281154,52.41103904998674,0.9555531756287031,0.022881722939814417,0.03721656704709276,0.9679666367924391,2.3230447146479682,3.284173841042279,0.8922983105876051
5,2025-05-29 01:00:00,2025-06-13 00:50:00,2025-06-13 01:00:00,2025-06-16 00:50:00,2160,432,0.3370034695399614,0.4365339613718556,0.9891763796475328,17.769978632250936,31.42663198801066,0.9839263108160826,0.017346299854670847,0.030170356325729075,0.979187299508823,2.009658840879626,2.737856398591513,0.919366341878287
6,2025-05-29 01:00:00,2025-06-14 00:50:00,2025-06-14 01:00:00,2025-06-17 01:00:00,2304,432,0.326288694340102,0.40763452124336236,0.9901491652182057,18.587449564868322,33.054643962247845,0.9811423981703955,0.01685033063020805,0.029108728552717743,0.9801729399255279,2.021500534932007,2.591814984553892,0.9371622652465212
7,2025-05-29 01:00:00,2025-06-15 00:50:00,2025-06-15 01:00:00,2025-06-18 01:00:00,2448,432,0.302765397574963,0.39632692139858,0.9905906283513471,19.455268161670205,32.61464410136272,0.9803980444801523,0.016004497149604384,0.028160005981664443,0.9809160047848525,2.356632108599633,3.1568248266763135,0.9155971798668958
8,2025-05-29 01:00:00,2025-06-16 00:50:00,2025-06-16 01:00:00,2025-06-19 01:00:00,2592,432,0.32651785904136005,0.4279387902730479,0.9891956247983681,18.1888584721014,30.74125343176015,0.9834697826202092,0.013559964036810286,0.020967378425659846,0.9897269463176578,2.7000119308092363,3.4681389768386492,0.8992941500304016
9,2025-05-29 01:00:00,2025-06-17 01:00:00,2025-06-17 01:10:00,2025-06-20 01:00:00,2736,432,0.37523595155353395,0.4936380092390069,0.9867954676630577,16.871224761071513,28.28877702221733,0.9872684427211925,0.013076923558483626,0.02032548665816611,0.9906031285350341,2.463777571020842,3.4853962205180244,0.8773689551466174
10,2025-05-29 01:00:00,2025-06-18 01:00:00,2025-06-18 01:10:00,2025-06-21 01:00:00,2880,432,0.3545548575529384,0.450660925808882,0.989207117829607,19.234029512564785,31.953997258088034,0.9840629513525588,0.012121478542331409,0.01865956209384942,0.9922854928231225,2.2003669683975597,3.072882687047777,0.8911649382743965
11,2025-05-29 01:00:00,2025-06-19 01:00:00,2025-06-19 01:10:00,2025-06-22 01:00:00,3024,432,0.32640396409112316,0.4227656625304606,0.9903012020318279,15.57292574654533,27.105223625506405,0.9883515914521096,0.011629105651706165,0.019167775832268086,0.9915526416441264,2.3574375350993875,3.272976807726357,0.8738065144758747
12,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-23 01:00:00,3168,432,0.34208141980656315,0.4389455841582017,0.9886260480831333,14.43476842893218,24.902487849601552,0.9894881753056819,0.010644479028408696,0.018690071187453,0.9918753346953362,1.898246577659449,2.889655322806382,0.9073775358912854
13,2025-05-29 01:00:00,2025-06-21 01:00:00,2025-06-21 01:10:00,2025-06-24 01:00:00,3312,432,0.43397472882652577,0.5785690514252672,0.9774007220560369,17.03270641416079,29.868058610000343,0.985069386408704,0.011523047452389823,0.020004249547605837,0.9906652290870736,1.8464163732265855,2.631277789478011,0.9337020807533898
14,2025-05-29 01:00:00,2025-06-22 01:00:00,2025-06-22 01:10:00,2025-06-25 01:00:00,3456,432,0.47655696988308605,0.6337409309651412,0.9698605240664163,20.764032422955594,36.12969885974074,0.9756455744522099,0.014612842695108676,0.02575048889550407,0.9836922853152735,1.5712128062337671,2.1326656778353104,0.9592653915918492
15,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-26 01:00:00,3600,432,0.36572072125650074,0.5086778109395697,0.980158199708234,20.01909168459581,34.22754222923212,0.9787419537742256,0.01601543181050447,0.028038617308232372,0.9805277486683367,1.6520583275595049,2.1642329429352314,0.9606369893748903
16,2025-05-29 01:00:00,2025-06-24 01:00:00,2025-06-24 01:10:00,2025-06-27 01:00:00,3744,432,0.3266986186132674,0.42117310537178854,0.9891928259236256,18.256784900802085,33.31229552716301,0.9802905042356113,0.015793470556343954,0.027930329135445707,0.9804927604753589,1.4873814940043022,1.965522738251694,0.9631856223153946
17,2025-05-29 01:00:00,2025-06-25 01:00:00,2025-06-25 01:10:00,2025-06-28 01:00:00,3888,432,0.343121803883939,0.47255371177566763,0.9882573769064094,24.409610489265788,54.417549927095486,0.9586127350094861,0.01832418670019209,0.03207523242443305,0.9775011257079795,1.9928546025452334,2.780509514742178,0.9278630700940785
18,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-29 01:00:00,4032,432,0.4839843997455304,0.6831806192706079,0.9786599223439616,32.99150967448678,70.83322285096838,0.9385161139198217,0.022849816205633415,0.038186851846465364,0.9713085247607252,3.221788400190102,4.551238001952558,0.851392999393305
19,2025-05-29 01:00:00,2025-06-27 01:00:00,2025-06-27 01:10:00,2025-06-30 01:00:00,4176,432,0.5812384938825248,0.7635365221823828,0.9738971438923087,43.48356414627723,82.41618525416708,0.923158719736903,0.02385204434759278,0.03898896451887501,0.9718735440512816,3.600881219575507,4.841041951638267,0.8515877684676199
20,2025-05-29 01:00:00,2025-06-28 01:00:00,2025-06-28 01:10:00,2025-07-01 01:10:00,4320,432,0.39770453161097125,0.5073099151699335,0.9872837187554375,14.743094852958055,24.225515914610597,0.9927374623309393,0.012709428986021745,0.02243650001433409,0.9903914002346235,2.993185545520961,4.199730880798475,0.8921985408914248
21,2025-05-29 01:00:00,2025-06-29 01:00:00,2025-06-29 01:10:00,2025-07-02 01:10:00,4464,432,0.4615520109743588,0.6649655135387449,0.9770187089464508,22.50335371371492,40.278548626682436,0.9768965543890961,0.016116632222797873,0.027403356655210945,0.9844777312066813,3.2306924943865876,4.143888949552299,0.8924138846313067
22,2025-05-29 01:00:00,2025-06-30 01:00:00,2025-06-30 01:10:00,2025-07-03 01:10:00,4608,432,0.4269145132528025,0.6105241379063161,0.9796385021978533,21.552474142180213,38.25339942022833,0.9802559961516385,0.014822404909816423,0.024976446151253686,0.987460431675244,2.3965895448402366,3.4014031700748064,0.9167923959774154
23,2025-05-29 01:00:00,2025-07-01 01:10:00,2025-07-01 01:20:00,2025-07-04 01:10:00,4752,432,0.4198913666233072,0.6249018265404227,0.9797119280423683,19.506231011265072,35.358290423844196,0.9833339851875973,0.01286420018073024,0.021396291498163043,0.990694820883778,2.5250756699456054,3.5803950926985726,0.8997514438993293
24,2025-05-29 01:00:00,2025-07-02 01:10:00,2025-07-02 01:20:00,2025-07-05 01:10:00,4896,432,0.39892369288915375,0.5304023884218398,0.9842898983422412,14.418029159222378,24.572671482864973,0.9922442646929677,0.011019379315882902,0.017643355241747805,0.9937401012882792,1.9218836834672695,2.4087490523267765,0.9400567588701499
25,2025-05-29 01:00:00,2025-07-03 01:10:00,2025-07-03 01:20:00,2025-07-06 01:10:00,5040,432,0.31072482534070656,0.4207244281171932,0.9896586276940594,19.14307506770892,39.3156990836959,0.9767181574814525,0.011910832600429707,0.020224108870149422,0.9915839625123938,1.5032351506738562,1.9327068495465864,0.9609136055214086
26,2025-05-29 01:00:00,2025-07-04 01:10:00,2025-07-04 01:20:00,2025-07-07 01:10:00,5184,432,0.35686723338549364,0.4801735011000079,0.9863876659860911,21.853223483554174,40.456733921070864,0.9733489008549377,0.012236736696062452,0.020844873711231445,0.9912136159703693,1.4032276125618286,1.8255739252587047,0.9659561636631105
27,2025-05-29 01:00:00,2025-07-05 01:10:00,2025-07-05 01:20:00,2025-07-08 01:10:00,5328,432,0.2933884296574952,0.38607623765177923,0.9906210934512846,18.80867998980752,33.7230189245698,0.9797379398869684,0.01158683115621364,0.021378635617976677,0.9906124218955931,1.4732543342061772,1.8761025445178354,0.9653533899631838
28,2025-05-29 01:00:00,2025-07-06 01:10:00,2025-07-06 01:20:00,2025-07-09 01:10:00,5472,432,0.2436737243258594,0.33123296249613315,0.9926677531382392,16.47199855002252,28.53324370323892,0.9859484935088259,0.008247138605555196,0.014035921278734651,0.995721587976658,1.4565305941649682,1.8600389594837448,0.964696992303447
29,2025-05-29 01:00:00,2025-07-07 01:10:00,2025-07-07 01:20:00,2025-07-10 01:10:00,5616,432,0.21805208524713457,0.2802748747228825,0.9948629710433228,16.12531273559466,28.484435761386507,0.9858578770170736,0.007976197060011935,0.013304742629635005,0.9960749587597637,1.5601371545972698,1.9639682125276,0.9639528012802757
30,2025-05-29 01:00:00,2025-07-08 01:10:00,2025-07-08 01:20:00,2025-07-11 01:10:00,5760,432,0.20879226018540875,0.3020411133840815,0.99441476836647,14.431303788995463,25.621092638129777,0.9889768446952366,0.010301933968162678,0.02009946915523574,0.9909239854571019,1.292970479716459,1.7329483877207816,0.9726510047728277
31,2025-05-29 01:00:00,2025-07-09 01:10:00,2025-07-09 01:20:00,2025-07-12 01:10:00,5904,432,0.23361086248191879,0.3212508739799134,0.993759109395949,14.68698226954738,26.34104169495728,0.9895531265996454,0.010367443337220884,0.01957942754688608,0.9919121509693112,1.3872046864144552,1.866742767441667,0.9725333908048829
32,2025-05-29 01:00:00,2025-07-10 01:10:00,2025-07-10 01:20:00,2025-07-13 01:10:00,6048,432,0.29811969406655836,0.39684995070326595,0.9900916687627013,15.3806456780942,26.3796320790509,0.9911450563296575,0.011999486415499416,0.02141097418460915,0.990801879852868,1.6209381396065041,2.257091366113184,0.9618327239140099
33,2025-05-29 01:00:00,2025-07-11 01:10:00,2025-07-11 01:20:00,2025-07-14 01:10:00,6192,432,0.27962163659243217,0.3758481290958493,0.9906336045262778,14.025723522367143,24.305638804407852,0.9929528203933601,0.01060458895864094,0.016892491105647844,0.9944929152293582,1.7107701035486553,2.2898724686058354,0.9561161240772869
34,2025-05-29 01:00:00,2025-07-12 01:10:00,2025-07-12 01:20:00,2025-07-15 01:10:00,6336,432,0.2535385240814104,0.3414795199259252,0.9922471367145691,12.532628557502097,22.134802870333818,0.993643252716673,0.010123562803864124,0.016072554608343663,0.9947473559814162,1.4414429210834667,1.92041559373191,0.9647941982083619
35,2025-05-29 01:00:00,2025-07-13 01:10:00,2025-07-13 01:20:00,2025-07-16 01:10:00,6480,432,0.2327859057044058,0.32491220221130973,0.9929362918162239,12.548270139704426,23.073754445095936,0.9922718058051574,0.009133960084036578,0.015906203894995346,0.9945242328119909,1.377453711062188,1.7090681651246669,0.9664582198020745
36,2025-05-29 01:00:00,2025-07-14 01:10:00,2025-07-14 01:20:00,2025-07-17 01:20:00,6624,432,0.25098924673109224,0.3237913044375197,0.9938855981881213,15.727237282149666,32.51337038205075,0.9846695807285347,0.010095704712728614,0.017827136877461326,0.9933423044730277,1.1863101927155115,1.6436821970853013,0.9726260808196003
37,2025-05-29 01:00:00,2025-07-15 01:10:00,2025-07-15 01:20:00,2025-07-18 01:20:00,6768,432,0.42225674676346325,0.6853737864318178,0.977278144877447,19.866512121622538,38.09411018451719,0.9819797978567759,0.012142121394696139,0.024528720041862732,0.9882507226851301,1.6029757735663546,2.1697860453132596,0.9574839723858776
38,2025-05-29 01:00:00,2025-07-16 01:10:00,2025-07-16 01:20:00,2025-07-19 01:20:00,6912,432,0.4620302708113852,0.7029742011549813,0.9773492231078549,19.31178289136389,36.63850406246364,0.9851581185064079,0.011601859484907742,0.024264194735700892,0.9893540588310356,1.7724987989122423,2.503611591786851,0.9439481162265229
39,2025-05-29 01:00:00,2025-07-17 01:20:00,2025-07-17 01:30:00,2025-07-20 01:20:00,7056,432,0.41033184326303174,0.6355847102225082,0.9783937189908058,16.350391066237112,28.491784947399747,0.9909411966396833,0.010702384841607751,0.022645452565564144,0.9903497347063056,1.6567387479890814,2.2904523605267983,0.954079137917965
40,2025-05-29 01:00:00,2025-07-18 01:20:00,2025-07-18 01:30:00,2025-07-21 01:20:00,7200,432,0.2544578964805032,0.3670551174428243,0.9905545638250303,12.355779288943031,22.329450842002295,0.9939466311659866,0.010350685793775839,0.018337419504869824,0.993495278965702,1.4437672093734875,2.0651359214879923,0.9604172099770402
41,2025-05-29 01:00:00,2025-07-19 01:20:00,2025-07-19 01:30:00,2025-07-22 01:20:00,7344,432,0.22098180180997834,0.30591460111627516,0.9922248558321444,14.149224241598118,25.67659685205119,0.9914335953833474,0.010540721671486819,0.018756940246989526,0.9929722329937042,1.2071586938353205,1.5718217174334848,0.9766873492604531
42,2025-05-29 01:00:00,2025-07-20 01:20:00,2025-07-20 01:30:00,2025-07-23 01:20:00,7488,432,0.22108680734416458,0.2959431980939107,0.9932114682402783,14.551467548010168,26.50532579484519,0.9916003343863394,0.01019135558599468,0.01822629723294473,0.9938063192243078,1.2634896981193402,1.6505712019454635,0.9742064398869965
43,2025-05-29 01:00:00,2025-07-21 01:20:00,2025-07-21 01:30:00,2025-07-24 01:20:00,7632,432,0.21799398154357405,0.29190483066731027,0.9941351082614782,12.656819681487722,23.012654551151844,0.9937780037115985,0.00966576389372624,0.01690195760441449,0.9948711055418228,1.4905040296110033,1.9402733302920787,0.9585009045693369
44,2025-05-29 01:00:00,2025-07-22 01:20:00,2025-07-22 01:30:00,2025-07-25 01:20:00,7776,432,0.24028117499491902,0.3307544446033907,0.9933165870097692,13.927729857465803,26.427048955968427,0.9916127728154815,0.00958484351316601,0.01740390371141107,0.9945527478236768,1.5293991525653479,2.051633056554577,0.9547828680147717
45,2025-05-29 01:00:00,2025-07-23 01:20:00,2025-07-23 01:30:00,2025-07-26 01:20:00,7920,432,0.3060310734038208,0.42756081507160504,0.9887547233565823,18.484068833713838,34.65061499611958,0.9838198662994544,0.01237682307646559,0.0226423056763845,0.9901753810368005,2.059912104582835,2.596327547588491,0.9139641819694836
46,2025-05-29 01:00:00,2025-07-24 01:20:00,2025-07-24 01:30:00,2025-07-27 01:20:00,8064,432,0.34345950856436264,0.4662160237370857,0.9857795730496254,20.035274381057388,37.2630488949867,0.9798689599860316,0.015067282309622518,0.027623720574525397,0.9844439735520251,1.876225671884498,2.329060658149256,0.9356560452383392
47,2025-05-29 01:00:00,2025-07-25 01:20:00,2025-07-25 01:30:00,2025-07-28 01:20:00,8208,432,0.3254185220131377,0.4407850894233647,0.9876728895314476,15.868755753999725,28.680482081228416,0.9880867934669741,0.016722965798544407,0.029258286669076143,0.9822280551409291,1.906717109336846,2.378014572905602,0.9436578488394195
48,2025-05-29 01:00:00,2025-07-26 01:20:00,2025-07-26 01:30:00,2025-07-29 01:20:00,8352,432,0.30899453050615805,0.4312300090273648,0.9874044172272708,14.552227510865773,26.916493308744904,0.9902418756980776,0.013390177088171605,0.023571301457320875,0.9888673885346493,1.2765022525355545,1.66974059230126,0.978008560820562
49,2025-05-29 01:00:00,2025-07-27 01:20:00,2025-07-27 01:30:00,2025-07-30 01:20:00,8496,432,0.29217328541988596,0.404162382110495,0.9878809091654764,21.31582753331684,42.62652816831517,0.9762449822998971,0.01619268732455923,0.029555230020006866,0.9822804853830838,1.446657195252826,1.852018935394212,0.9746813738350466
